start,end,n_frames,mean_pct_disallowed,max_pct_disallowed,mean_rama_distance,max_rama_distance
0,20,20,67.5,100.0,1.553636074873075,3.4956734996754504
10,30,20,67.5657894736842,100.0,1.5625067889320876,3.500570246486079
20,40,20,68.02631578947368,100.0,1.5574602245058902,3.6345216431774157
30,50,20,66.38157894736842,100.0,1.54235291465726,3.744861788017137
40,60,20,66.38157894736842,100.0,1.5325139943395922,3.664622727224523
50,70,20,67.69736842105263,100.0,1.5358150495568543,3.6495793114212525
60,80,20,68.28947368421052,100.0,1.5563345806893554,3.775516085405657
70,90,20,66.57894736842105,100.0,1.5443622980932636,3.7096457546117683
80,100,20,65.98684210526316,100.0,1.5144962214541604,3.4795554334438386
90,110,20,66.77631578947368,100.0,1.5193003091803639,3.6035074972480814
100,120,20,66.44736842105263,100.0,1.5370337101576432,3.7112088839907806
110,130,20,65.92105263157895,100.0,1.5415264513567097,3.6210163826190738
120,140,20,66.57894736842105,100.0,1.540543091974774,3.75312582984303
130,150,20,68.42105263157895,100.0,1.556154170308967,3.6801461072187465
140,160,20,67.23684210526316,100.0,1.553260180523288,3.7355618441575444
150,170,20,65.78947368421052,100.0,1.551535640312379,3.8206918483739125
160,180,20,65.92105263157895,100.0,1.5494578688970488,3.6563121047260276
170,190,20,66.25,100.0,1.522436664426771,3.5691119556495736
