start,end,n_frames,mean_pct_disallowed,max_pct_disallowed,mean_rama_distance,max_rama_distance,deep_recon_error,z1,z2,z3,z4,z5,z6,z7,z8,z9,z10,z11,z12,z13,z14,z15,z16,cluster,A_hybrid
82,122,40,65.87837837837837,78.37837837837837,1.544603605642663,3.494585314393043,0.2685006,-0.6881908,0.11202437,1.3857659,-0.47892252,-0.92287433,0.43763554,0.7921296,-0.20397852,-0.54619235,0.5318916,0.8461648,-1.0573695,0.8958858,0.83926105,-1.2546116,1.1101614,3,0.8330793650793649
94,134,40,65.94594594594595,75.67567567567568,1.545636010955944,3.5774567484855653,0.12562518,-0.29083025,0.31271848,0.83564985,-0.6637409,-1.6409657,0.6585423,0.5205442,-0.20879437,-0.80795157,0.699201,1.1560345,-1.5707605,0.6385801,1.2389363,-1.3900143,0.6403075,4,0.6249367677838643
130,170,40,66.21621621621621,74.32432432432432,1.543972892976819,3.709610944986343,0.16055045,0.4454611,1.5340911,1.6354734,1.2110213,-1.4951715,0.026742384,0.02587081,1.0029107,0.2919184,0.28102577,0.54519945,0.29896286,-0.4449515,1.2206608,-1.4552952,-0.39381003,0,0.5787356210574577
80,120,40,65.70945945945945,78.37837837837837,1.54189324097431,3.535571476817131,0.14558987,-1.4556227,-0.6172633,1.3561181,-0.81292856,-0.88343143,0.632059,0.9742686,-0.37415916,-0.24291842,0.32281736,0.86070323,-1.4745584,0.9264847,0.74082905,-1.2901945,1.4604005,3,0.5764825643991296
144,184,40,66.21621621621621,74.32432432432432,1.552892380410403,3.640237033367157,0.08472966,-0.08433792,0.2655734,0.85254866,0.036346465,-1.9555109,0.41940057,0.18290101,-0.27915573,-0.62513274,0.50750047,1.2496871,0.01451054,-0.04463444,1.4156594,-1.2009425,0.10921751,4,0.5702386791234756
74,114,40,66.41891891891892,78.37837837837837,1.5536383293078255,3.589429160952568,0.20953046,-0.98857677,-0.7685069,0.09823628,-0.046361916,-3.6342833,1.1382055,-0.7509912,-0.85742575,-0.20064111,-0.2600901,1.7670695,0.3245788,-1.3655988,2.2422788,-0.9016287,-0.35254037,-1,0.5337118330529464
142,182,40,66.11486486486486,74.32432432432432,1.5479217780779142,3.623412585258484,0.06119834,-0.031889502,0.2502283,0.8752213,-0.17281742,-1.2160499,0.037761442,0.34232497,-0.12606753,-0.7285192,0.32293522,0.87498546,-0.8786747,0.33805048,1.0270634,-1.0171711,0.54344314,4,0.514628182034554
92,132,40,66.28378378378378,75.67567567567568,1.5470135337503226,3.5641083478927613,0.19041358,-0.8307684,0.15547532,0.3143481,-0.41401118,-1.0074103,0.28116027,0.43293646,0.43207282,0.28330472,-0.6136956,0.8659885,-1.665693,-0.053219423,0.2962655,-0.52336335,0.6143368,-1,0.4835725255904596
126,166,40,65.87837837837837,74.32432432432432,1.5419831734100309,3.7134334623813623,0.112321965,-0.14223573,1.7811282,1.1365038,1.1738524,-1.0381922,0.7492963,-0.3127951,1.7028283,1.7697535,0.037984632,-0.39029634,0.015369238,-0.8134748,0.16095117,-1.1916615,-0.663071,0,0.45253287715360035
86,126,40,66.72297297297297,78.37837837837837,1.552172687265871,3.49253126680851,0.15055,-0.14258431,-0.01817964,1.7931392,0.944296,-2.9806712,0.10708962,-0.26646727,-0.51288646,-0.5005756,0.07234063,1.550106,0.832839,-0.7211925,2.3291006,-1.544804,-0.12589446,-1,0.44676853348899703
128,168,40,65.97972972972973,74.32432432432432,1.542971079318935,3.709280598163605,0.10331423,0.21711072,1.4632626,1.864278,1.2527034,-0.7382836,-0.1251362,0.035058126,1.0487143,0.6823944,0.20139733,0.046229444,0.10006583,-0.2495882,0.54362243,-1.4392295,-0.19242758,0,0.44441480901757974
96,136,40,66.04729729729729,75.67567567567568,1.551663605104251,3.6160408198833465,0.18140343,0.30419222,0.6815615,1.0006672,-0.27233008,-2.940462,0.87477124,0.25319767,-0.34953302,-1.115642,1.2702987,1.6744071,-0.5631097,0.23940831,1.9061223,-1.9117696,0.002687104,-1,0.44370369586960196
