start,end,cluster,cluster_size,is_noise,is_tiny,deep_recon_error,mean_pct_disallowed,anomaly_score
0,40,-1,48,1,0,0.07431781,65.27027027027026,0.4609579177031556
2,42,-1,48,1,0,0.07128437,65.30405405405405,0.4581914516335775
4,44,0,6,0,0,0.08427649,65.50675675675674,0.20268446750746333
6,46,0,6,0,0,0.084193766,65.57432432432432,0.20887165680271075
8,48,0,6,0,0,0.07928886,65.6081081081081,0.20243987706477817
10,50,-1,48,1,0,0.06683971,66.04729729729729,0.5193277420366723
12,52,-1,48,1,0,0.097493194,65.97972972972973,0.5730141622432519
14,54,-1,48,1,0,0.057539407,66.01351351351352,0.4979382593474418
16,56,-1,48,1,0,0.1308361,66.04729729729729,0.6446662964064863
18,58,1,10,0,0,0.093377136,65.91216216216216,0.2586035518145013
20,60,1,10,0,0,0.060118947,66.14864864864865,0.21568876661773118
22,62,1,10,0,0,0.049476814,66.11486486486486,0.19167127581100948
24,64,1,10,0,0,0.042841908,65.94594594594594,0.16280362810924306
26,66,1,10,0,0,0.047320843,66.28378378378378,0.20332176775097677
28,68,1,10,0,0,0.041677747,66.14864864864865,0.17957120828600942
30,70,1,10,0,0,0.059117958,66.21621621621621,0.2200775106002276
32,72,1,10,0,0,0.050224725,66.14864864864865,0.1963106816649079
34,74,-1,48,1,0,0.06150684,65.97972972972973,0.5025339744170264
36,76,2,7,0,0,0.07015881,65.91216216216216,0.2131298709439543
38,78,2,7,0,0,0.11283157,65.97972972972973,0.30305476100547346
40,80,2,7,0,0,0.074232504,66.04729729729729,0.23380671675249354
42,82,2,7,0,0,0.090359695,65.94594594594594,0.2558684201925581
44,84,2,7,0,0,0.10651956,65.16891891891892,0.21450205299902278
46,86,2,7,0,0,0.09176855,65.13513513513513,0.1824372222835441
48,88,2,7,0,0,0.09245271,65.54054054054055,0.22187240510623613
50,90,-1,48,1,0,0.07391106,65.27027027027027,0.46016128750276714
52,92,-1,48,1,0,0.09064099,65.13513513513513,0.4802288674003198
54,94,-1,48,1,0,0.104842134,65.20270270270271,0.5143913747709968
56,96,-1,48,1,0,0.03581482,64.96621621621621,0.35697740581445675
58,98,-1,48,1,0,0.03642721,65.23648648648648,0.3835736125718525
60,100,3,4,0,0,0.036456324,65.06756756756756,0.06775761720690586
62,102,3,4,0,0,0.0562402,64.83108108108108,0.08428261834638164
64,104,1,10,0,0,0.032576263,65.13513513513513,0.06650762559186922
66,106,1,10,0,0,0.03830573,65.27027027027027,0.09042734485287442
68,108,-1,48,1,0,0.0739227,65.77702702702702,0.5078031323572738
70,110,-1,48,1,0,0.09214482,65.91216216216216,0.5561900296460354
72,112,-1,48,1,0,0.05936521,65.97972972972973,0.4983395376965329
74,114,-1,48,1,0,0.20953046,66.41891891891892,0.8337118330513702
76,116,-1,48,1,0,0.12334189,66.38513513513513,0.6617347276262266
78,118,-1,48,1,0,0.16969857,66.25,0.7398270494768171
80,120,3,4,0,0,0.14558987,65.70945945945945,0.34181589773140864
82,122,3,4,0,0,0.2685006,65.87837837837837,0.5984126984106934
84,124,-1,48,1,0,0.116245836,66.52027027027027,0.6605353384315878
86,126,-1,48,1,0,0.15055,66.72297297297297,0.7467685334878599
88,128,-1,48,1,0,0.146621,66.41891891891892,0.7105020586783839
90,130,-1,48,1,0,0.110180765,66.58783783783784,0.655005949264852
92,132,-1,48,1,0,0.19041358,66.28378378378378,0.783572525589036
94,134,4,3,0,1,0.12562518,65.94594594594595,0.6249367677829527
96,136,-1,48,1,0,0.18140343,66.04729729729729,0.7437036958682579
98,138,-1,48,1,0,0.10782111,65.87837837837837,0.5837178383806356
100,140,-1,48,1,0,0.09948828,66.11486486486487,0.5896200015181188
102,142,-1,48,1,0,0.085989766,66.14864864864865,0.5663574223625805
104,144,-1,48,1,0,0.07990579,66.18243243243244,0.5576164040988384
106,146,-1,48,1,0,0.055176314,66.11486486486487,0.5028338912433932
108,148,-1,48,1,0,0.079560846,65.77702702702702,0.5188455844231786
110,150,-1,48,1,0,0.06841231,65.77702702702702,0.4970108936604681
112,152,-1,48,1,0,0.1234384,65.77702702702702,0.6047808877683118
114,154,-1,48,1,0,0.121008635,65.37162162162163,0.5619268932407635
116,156,-1,48,1,0,0.12209132,65.6081081081081,0.5862695815195417
118,158,-1,48,1,0,0.13468114,65.8445945945946,0.6331492858056051
120,160,-1,48,1,0,0.079358585,66.31756756756756,0.5692431019138905
122,162,-1,48,1,0,0.11500712,66.0135135135135,0.6104902340816305
124,164,-1,48,1,0,0.089597814,65.94594594594595,0.5543762569136335
126,166,0,6,0,0,0.112321965,65.87837837837837,0.29253287715279375
128,168,0,6,0,0,0.10331423,65.97972972972973,0.28441480901683774
130,170,0,6,0,0,0.16055045,66.21621621621621,0.4187356210562662
132,172,-1,48,1,0,0.05589569,66.48648648648648,0.5391634423214433
134,174,-1,48,1,0,0.06335508,66.79054054054053,0.5823442755652255
136,176,-1,48,1,0,0.05857807,66.92567567567566,0.5856867929137511
138,178,-1,48,1,0,0.053544607,66.95945945945945,0.5790032310278875
140,180,-1,48,1,0,0.08187093,66.35135135135135,0.5773381965471239
142,182,4,3,0,1,0.06119834,66.11486486486486,0.5146281820341291
144,184,4,3,0,1,0.08472966,66.21621621621621,0.5702386791228657
146,186,-1,48,1,0,0.04572978,66.25,0.4970310273015811
148,188,-1,48,1,0,0.05148647,66.45270270270271,0.5273532698483481
150,190,-1,48,1,0,0.040592767,66.48648648648648,0.5091922791596997
152,192,-1,48,1,0,0.036503974,66.35135135135135,0.48848586157637075
154,194,-1,48,1,0,0.0132064875,66.45270270270271,0.45238095238088183
