frame_index,fused_anomaly,rarity,transition_surprise,local_density,rmsf,tica_importance,state_label,previous_state_label,next_state_label
1,0.886792,0.696935,1.438795,1.015511,9.05524,2.971632,3,3,3
3,0.523585,0.696935,0.0,0.858778,13.580314,2.883245,3,3,5
4,0.518868,1.0,0.0,0.329975,12.809408,1.607461,5,3,5
9,0.509434,1.0,0.0,0.442837,11.673606,1.783496,5,5,5
48,0.900943,0.772023,1.838862,0.524847,0.817189,0.722404,1,1,0
49,0.900943,0.831159,1.969142,0.482723,1.463779,0.575626,0,1,0
50,0.90566,0.831159,1.969142,0.344826,2.596656,0.323502,0,0,0
52,0.90566,0.831159,1.268511,0.386071,0.061151,0.336593,0,0,0
177,0.528302,1.0,0.0,0.195283,9.877599,1.129376,4,4,0
202,0.70283,1.0,0.0,0.161175,9.877697,0.784696,4,4,2
