frame,score_dynamic,component_rarity,component_transition_surprise,component_local_density
0,77.0,7.7,77.0,100.0
1,99.7,99.9,27.900000000000002,99.9
2,99.7,99.8,28.000000000000004,99.8
3,99.7,99.7,28.1,99.7
4,89.0,7.9,88.8,99.6
5,88.9,8.0,88.9,99.5
6,88.8,7.8,89.0,99.2
7,43.4,8.1,28.199999999999996,99.3
8,43.4,8.200000000000001,30.0,99.4
9,43.2,43.4,30.099999999999998,98.7
10,43.4,43.7,30.2,99.1
11,43.5,43.2,30.3,98.3
12,43.5,43.5,14.000000000000002,98.9
13,43.2,43.6,15.8,98.8
14,43.3,43.0,15.9,99.0
15,43.3,43.1,16.0,98.0
16,43.3,43.3,29.2,97.7
17,81.2,81.2,29.299999999999997,97.89999999999999
18,81.3,81.3,29.4,98.2
19,81.39999999999999,81.39999999999999,29.5,98.6
20,81.39999999999999,99.4,29.599999999999998,97.3
21,81.39999999999999,81.89999999999999,29.7,97.39999999999999
22,79.60000000000001,79.4,29.799999999999997,96.1
23,79.60000000000001,79.5,29.9,97.0
24,79.60000000000001,79.60000000000001,6.4,97.2
25,79.7,79.7,14.399999999999999,98.5
26,79.80000000000001,79.80000000000001,14.499999999999998,98.1
27,79.9,79.9,14.6,96.8
28,80.0,80.0,14.7,98.4
29,80.10000000000001,80.10000000000001,14.799999999999999,97.6
30,80.10000000000001,80.2,14.899999999999999,96.6
31,80.10000000000001,80.30000000000001,15.0,97.8
32,80.2,7.000000000000001,78.9,95.8
33,78.9,3.9,38.2,93.0
34,55.800000000000004,28.199999999999996,87.7,95.3
35,55.800000000000004,28.599999999999998,32.7,95.6
36,55.800000000000004,49.8,55.800000000000004,89.0
37,32.9,49.7,70.0,90.8
38,55.800000000000004,0.0,32.800000000000004,82.69999999999999
39,48.3,0.1,32.9,75.8
40,48.3,98.1,15.6,89.7
41,60.199999999999996,32.9,48.3,88.3
42,60.199999999999996,12.3,60.199999999999996,82.39999999999999
43,60.199999999999996,6.9,90.10000000000001,77.8
44,60.199999999999996,6.800000000000001,37.6,74.4
45,60.099999999999994,98.2,28.999999999999996,91.10000000000001
46,60.099999999999994,14.099999999999998,60.099999999999994,87.2
47,61.1,7.1,27.700000000000003,74.0
48,60.099999999999994,98.3,31.5,79.2
49,51.300000000000004,98.4,31.6,61.1
50,51.300000000000004,7.6,79.0,51.300000000000004
51,32.7,25.4,31.7,44.7
52,32.7,32.7,30.4,69.3
53,32.7,32.6,31.900000000000002,89.9
54,32.7,0.7000000000000001,90.0,76.8
55,53.2,0.6,90.3,53.2
56,53.2,32.5,32.0,88.7
57,53.2,98.5,32.1,59.9
58,49.4,12.2,32.2,58.3
59,59.9,98.6,32.300000000000004,61.8
60,61.8,12.1,73.6,49.4
61,79.9,98.7,32.4,82.0
62,79.9,98.8,32.5,84.2
63,79.9,98.9,32.6,79.9
64,32.4,32.4,24.0,68.4
65,32.4,32.300000000000004,24.099999999999998,92.9
66,32.4,99.0,24.2,32.0
67,32.300000000000004,0.4,90.7,39.0
68,32.2,96.2,24.3,74.5
69,32.2,32.2,24.4,40.5
70,32.1,0.5,90.8,5.6000000000000005
71,30.9,32.1,84.2,22.0
72,30.9,10.7,30.9,49.7
73,31.1,10.8,31.0,19.2
74,31.1,96.3,31.1,17.4
75,31.6,96.39999999999999,31.2,39.300000000000004
76,33.300000000000004,96.5,31.3,77.3
77,39.300000000000004,31.6,76.1,11.5
78,33.300000000000004,33.300000000000004,74.9,3.5999999999999996
79,31.6,96.6,31.4,68.8
80,33.300000000000004,31.5,49.5,16.6
81,68.8,24.8,22.900000000000002,93.60000000000001
82,31.5,96.7,23.0,96.39999999999999
83,31.3,96.8,23.1,82.1
84,48.9,31.4,23.200000000000003,10.4
85,48.9,31.3,23.3,32.9
86,31.3,31.2,48.9,87.9
87,48.9,33.1,75.3,70.5
88,48.9,31.1,48.8,20.5
89,36.199999999999996,96.89999999999999,23.400000000000002,55.7
90,36.199999999999996,30.9,48.4,23.1
91,55.7,97.0,22.1,36.199999999999996
92,38.5,97.1,23.599999999999998,70.1
93,39.2,97.2,23.7,78.8
94,39.2,97.3,23.799999999999997,38.5
95,38.5,97.39999999999999,23.9,39.2
96,38.5,30.8,23.5,26.1
97,30.7,30.7,22.2,96.2
98,30.5,31.0,76.4,46.6
99,30.7,94.39999999999999,22.3,12.9
100,30.5,30.5,76.3,9.5
101,30.4,30.599999999999998,76.5,63.3
102,30.4,30.4,48.6,21.8
103,30.4,30.3,22.400000000000002,48.9
104,30.4,2.8000000000000003,22.5,42.3
105,30.3,38.3,42.199999999999996,8.1
106,38.3,94.8,22.6,71.1
107,41.6,94.89999999999999,22.7,30.3
108,41.6,38.4,41.8,41.6
109,41.6,38.5,41.699999999999996,56.49999999999999
110,41.6,38.6,22.8,23.0
111,41.6,38.7,41.6,50.1
112,41.6,29.599999999999998,75.9,87.3
113,41.6,95.0,26.200000000000003,10.5
114,38.9,95.1,24.9,71.6
115,38.9,38.800000000000004,26.400000000000002,38.3
116,42.8,38.9,26.5,73.4
117,39.2,39.0,42.8,83.1
118,39.2,39.1,43.0,49.6
119,39.300000000000004,39.2,75.0,5.7
120,39.300000000000004,95.19999999999999,27.3,6.7
121,39.300000000000004,39.300000000000004,42.6,7.8
122,41.8,41.8,43.1,6.0
123,41.8,42.1,81.6,15.0
124,41.8,42.0,87.6,8.0
125,42.0,95.3,27.400000000000002,17.9
126,29.7,95.39999999999999,27.500000000000004,4.3999999999999995
127,29.7,42.199999999999996,81.89999999999999,8.7
128,30.5,42.3,25.4,29.7
129,39.1,28.999999999999996,76.0,30.5
130,36.1,42.4,25.5,60.699999999999996
131,39.1,42.5,39.1,27.200000000000003
132,41.8,36.1,25.6,90.9
133,41.8,45.800000000000004,74.3,67.4
134,41.8,2.4,89.7,41.8
135,62.4,3.6999999999999997,89.60000000000001,62.4
136,41.8,95.5,25.7,9.1
137,41.0,45.9,81.5,88.0
138,38.9,95.6,25.8,41.0
139,38.9,35.8,38.9,74.1
140,35.699999999999996,95.7,25.900000000000002,4.7
141,35.699999999999996,40.9,26.0,19.7
142,35.699999999999996,95.8,26.1,35.699999999999996
143,41.199999999999996,49.2,81.2,53.6
144,41.199999999999996,42.8,41.3,29.2
145,41.199999999999996,42.699999999999996,41.199999999999996,13.4
146,41.099999999999994,40.8,41.099999999999994,72.0
147,41.099999999999994,42.6,40.9,17.599999999999998
148,41.099999999999994,93.7,37.5,18.3
149,40.9,41.199999999999996,33.7,63.2
150,39.900000000000006,41.099999999999994,81.69999999999999,66.2
151,41.199999999999996,93.8,25.0,36.8
152,41.3,41.0,39.900000000000006,33.1
153,39.900000000000006,41.3,40.1,45.9
154,41.3,41.699999999999996,40.8,90.60000000000001
155,41.5,41.6,25.1,14.899999999999999
156,41.699999999999996,41.4,75.7,83.8
157,41.9,41.5,41.0,75.2
158,46.0,41.9,25.2,65.7
